Age,Gender,Grade,Bullied,BulliedElec,DaysUnsafe,TalkTeacher,FeltThreat,Fights,Injured,FightsSchool,PropStolen,Sad,Slapped,ForcedSex
17 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
17 years old,Male,11th grade,Yes,Yes,0 days,No,0 times,0 times,0 times,0 times,,No,No,No
16 years old,Male,11th grade,No,No,0 days,No,0 times,1 time,0 times,0 times,0 times,No,No,No
17 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
17 years old,Male,11th grade,No,No,0 days,No,0 times,1 time,0 times,0 times,0 times,No,No,No
17 years old,Male,11th grade,No,No,0 days,,0 times,2 or 3 times,0 times,0 times,0 times,Yes,No,No
17 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,1 time,No,No,No
16 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
17 years old,Male,11th grade,No,No,0 days,Yes,0 times,0 times,0 times,0 times,1 time,No,No,No
17 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,4 or 5 times,No,No,No
18 years old or older,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,1 time,No,No,No
17 years old,Male,11th grade,No,No,0 days,No,0 times,0 times,0 times,0 times,0 times,No,No,No
17 years old,Female,11th grade,No,No,0 days,Yes,0 times,1 time,0 times,0 times,0 times,No,No,No
